"CODE","DESIGNATION","ACRONYM","AREA","POPULATION"
32,"Lisboa","LISB",100,567131
33,"Sintra","SNTR",319,395528
34,"Vila Nova de Gaia","VNGA",168,311223
35,"Porto","PORT",41,248769
36,"Cascais","CASC",97,219636
37,"Loures","LOUR",167,207065
38,"Braga","BRAG",183,201583
39,"Almada","ALMD",70,181232
40,"Matosinhos","MATO",62,179558
41,"Amadora","AMAD",24,178253
42,"Oeiras","OEIR",46,175677
43,"Seixal","SEIX",95,173163
44,"Gondomar","GOND",131,168582
45,"Guimarães","GUIM",241,156789
46,"Odivelas","ODIV",26,153708
47,"Coimbra","COIM",319,144822
48,"Maia","MAIA",83,142594
49,"Santa Maria da Feira","SMFE",215,139837
50,"Vila Franca de Xira","VFXI",318,139452
51,"Vila Nova de Famalicão","VNFA",201,135994
52,"Leiria","LEIR",565,133795
53,"Setúbal","SETU",230,123548
54,"Barcelos","BARC",378,117005
55,"Funchal","FUNC",76,107562
56,"Viseu","VISE",507,101977
57,"Valongo","VALO",75,100166
58,"Mafra","MAFR",292,90128
59,"Torres Vedras","TVED",407,88020
60,"Viana do Castelo","VIAN",319,86780
61,"Aveiro","AVEI",197,86037
62,"Paredes","PARD",156,86015
63,"Vila do Conde","VCON",149,84872
64,"Barreiro","BARR",36,79966
65,"Loulé","LOUL",763,74410
66,"Palmela","PALM",465,72938
67,"Penafiel","PENF",212,70320
68,"Faro","FARO",202,69468
69,"Moita","MOIT",55,68950
70,"Ponta Delgada","PDEL",233,68758
71,"Santo Tirso","STIR",136,67826
72,"Póvoa de Varzim","PVAR",82,67525
73,"Oliveira de Azeméis","OAZE",161,67277
74,"Portimão","PORM",182,63079
75,"Santarém","SANT",552,61009
76,"Figueira da Foz","FFOZ",379,60670
77,"Montijo","MONT",348,59197
78,"Alcobaça","ALCO",408,57358
79,"Ovar","OVAR",147,56735
80,"Paços de Ferreira","PFER",71,55981
81,"Sesimbra","SESI",195,55504
82,"Felgueiras","FELG",115,55429
83,"Caldas da Rainha","CRAN",256,54145
84,"Évora","EVOR",1307,53937
85,"Castelo Branco","CBRA",1439,52913
86,"Amarante","AMAR",301,52235
87,"Pombal","POMB",626,52026
88,"Vila Real","VREA",378,49928
89,"Marco de Canaveses","MCAN",201,49576
90,"Fafe","FAFE",219,48514
91,"Alenquer","ALEN",304,48319
92,"Lousada","LOUS",96,48309
93,"Vila Verde","VVER",228,48150
94,"Albufeira","ALBU",141,47524
95,"Águeda","AGUE",335,47220
96,"Ourém","OURE",416,46512
97,"Covilhã","COVI",555,46375
98,"Olhão","OLHA",130,45043
99,"Santa Cruz","SCRU",81,44178
100,"Ílhavo","ILHA",73,42129
101,"Ponte de Lima","PLIM",320,41130
102,"Marinha Grande","MGRAN",187,41011
103,"Guarda","GUAR",712,40011
104,"Trofa","TROF",72,39997
105,"Silves","SILV",680,39497
106,"Chaves","CHAV",591,37419
107,"Esposende","ESPO",95,37129
108,"Tomar","TOMA",351,36859
109,"Bragança","BRAN",1173,35425
110,"Cantanhede","CANT",390,34916
111,"Torres Novas","TNOV",270,34719
112,"Lagos","LAGO",212,34552
113,"Beja","BEJA",1026,33838
114,"Abrantes","ABRA",714,33811
115,"Angra do Heroísmo","AHER",239,33786
116,"Odemira","ODEM",1720,33124
117,"Câmara de Lobos","CLOB",52,32786
118,"Espinho","ESPI",21,32393
119,"Benavente","BENA",521,32323
120,"Ribeira Grande","RGRA",180,32280
121,"Lourinhã","LORI",147,28383
122,"Santiago do Cacém","SCAC",1060,28246
123,"Anadia","ANAD",216,28205
124,"Tavira","TAVI",607,27861
125,"Peniche","PENI",78,27554
126,"Estarreja","ESTA",108,27097
127,"Fundão","FUND",700,26981
128,"Tondela","TOND",371,25824
129,"Albergaria-a-Velha","ALVE",158,25779
130,"Oliveira do Bairro","OBAI",87,25055
131,"Lagoa","LAGOA",88,24918
132,"Montemor-o-Velho","MVEL",229,24889
133,"Vizela","VIZE",24,24529
134,"Vagos","VAGO",165,24452
135,"Cartaxo","CART",158,24359
136,"Lamego","LAME",165,24129
137,"Porto de Mós","PMOS",261,23998
138,"São João da Madeira","SJMA",8,23863
139,"Salvaterra de Magos","SMAG",243,23337
140,"Azambuja","AZAM",262,22932
141,"Almeirim","ALME",222,22820
142,"Póvoa de Lanhoso","PLAN",131,22607
143,"Rio Maior","RMAI",272,22315
144,"Entroncamento","ENTR",31,21985
145,"Portalegre","PORTA",447,21914
146,"Seia","SEIA",435,21441
147,"Mirandela","MIRA",659,21390
148,"Vale de Cambra","VCAM",147,21251
149,"Arouca","AROU",329,20916
150,"Arcos de Valdevez","AVAL",447,20859
151,"Elvas","ELVA",631,20412
152,"Alcochete","ALCOH",128,20101
153,"Mealhada","MEAL",111,19787
154,"Vila da Praia da Vitória","VPRA",161,19740
155,"Machico","MACH",68,19595
156,"Amares","AMAR2",82,19578
157,"Oliveira do Hospital","OHOS",234,19464
158,"Vila Real de Santo António","VRSA",61,19314
159,"Mangualde","MANG",219,18592
160,"Monção","MONC",211,18032
161,"Celorico de Basto","CBAST",181,17655
162,"Condeixa-a-Nova","CONDE",138,17555
163,"Cinfães","CINF",239,17432
164,"Lousã","LOUSA",138,17419
165,"Coruche","CORU",1116,17365
166,"Soure","SOUR",265,17238
167,"Baião","BAIA",174,17201
168,"Batalha","BATA",103,16565
169,"Caminha","CAMI",136,16442
170,"Montemor-o-Novo","MNOV",1232,15951
171,"Nazaré","NAZA",82,15698
172,"Cabeceiras de Basto","CBASTO",241,15560
173,"Castelo de Paiva","CPAI",115,15448
174,"Arruda dos Vinhos","ARRU",78,15321
175,"Ponte de Sor","PSOR",839,15207
176,"São Pedro do Sul","SPSUL",348,15197
177,"Lagoa (Açores)","LAGO2",45,14920
178,"Sertã","SERT",446,14900
179,"Sines","SINE",203,14771
180,"Valpaços","VALP",548,14590
181,"Horta","HORT",173,14466
182,"Macedo de Cavaleiros","MCAV",699,14236
183,"Grândola","GRAN",801,14165
184,"Valença","VALE",117,14159
185,"Bombarral","BOMB",91,13990
186,"Castro Daire","CDAI",379,13732
187,"Serpa","SERP",1105,13731
188,"Nelas","NELA",125,13323
189,"Moura","MOUR",958,13320
190,"Óbidos","OBID",142,13294
191,"Ribeira Brava","RBRA",65,13080
192,"Penacova","PENA",217,12919
193,"Alcanena","ALCA",127,12750
194,"Mira","MIRA2",124,12523
195,"Gouveia","GOUV",300,12222
196,"Miranda do Corvo","MCOR",126,12117
197,"Vieira do Minho","VMIN",216,12066
198,"Sobral de Monte Agraço","SMAG2",52,11879
199,"Ansião","ANSI",176,11865
200,"Vila Pouca de Aguiar","VPA",437,11772
201,"São Brás de Alportel","SBRA",153,11604
202,"Tábua","TABU",199,11602
203,"Vendas Novas","VNOV",222,11537
204,"Arganil","ARGAN",332,11313
205,"Sabugal","SABU",822,11270
206,"Ponte da Barca","PBAR",182,11178
207,"Calheta","CALH",111,11162
208,"Sátão","SATA",201,11138
209,"Alcácer do Sal","ASAL",1499,11082
210,"Murtosa","MURT",73,11036
211,"Sever do Vouga","SVOU",129,10944
212,"Santa Comba Dão","SCDA",111,10925
213,"Vila Franca do Campo","VFCA",78,10398
214,"Alijó","ALIJ",297,10324
215,"Reguengos de Monsaraz","RMON",464,9875
216,"Vouzela","VOUZ",193,9765
217,"Oliveira de Frades","OFRA",147,9763
218,"Resende","RESE",111,9762
219,"Moimenta da Beira","MBEI",219,9733
220,"Vila Nova de Cerveira","VNCE",108,9327
221,"Montalegre","MONTA",806,9142
222,"Carregal do Sal","CSAL",116,9177
223,"Mortágua","MORT",251,9059
224,"Aljustrel","ALJU",458,8922
225,"Paredes de Coura","PCOU",138,8709
226,"Ponta do Sol","PSOL",46,8709
227,"Chamusca","CHAM",746,8531
228,"Idanha-a-Nova","INOV",1416,8492
229,"Trancoso","TRAN",361,8313
230,"Mogadouro","MOGA",760,8237
231,"Ferreira do Zêzere","FZEZ",190,8018
232,"Campo Maior","CMAI",247,7916
233,"Ferreira do Alentejo","FALE",648,7912
234,"Pinhel","PINH",484,7849
235,"Vila Nova da Barquinha","VBAR",49,7783
236,"Tarouca","TARO",100,7615
237,"Melgaço","MELG",238,7599
238,"Vinhais","VINH",694,7450
239,"Penalva do Castelo","PCAS",134,7342
240,"Alpiarça","ALPI",95,7331
241,"Vila Viçosa","VVIC",194,7300
242,"Vila Nova de Poiares","VPOI",84,7140
243,"Proença-a-Nova","PNOV",395,7091
244,"Castro Verde","CVRD",569,6965
245,"Castro Marim","CMAR",301,6819
246,"Arraiolos","ARRA",683,6778
247,"São João da Pesqueira","SJPE",266,6772
248,"Torre de Moncorvo","TMON",531,6737
249,"Almodôvar","ALMO",777,6694
250,"Celorico da Beira","CBEI",247,6605
251,"Madalena","MADA",147,6533
252,"Santana","SANA",95,6488
253,"Mondim de Basto","MBAST",172,6405
254,"Mação","MACA",400,6403
255,"Borba","BORB",145,6398
256,"Terras de Bouro","TBOU",277,6388
257,"Vila Nova de Foz Côa","VFCO",398,6369
258,"Aljezur","ALJE",323,6362
259,"Alvaiázere","ALVA",160,6355
260,"Redondo","REDO",369,6299
261,"Miranda do Douro","MDOU",487,6298
262,"Belmonte","BELM",118,6216
263,"Mértola","MERT",1292,6137
264,"Vila Flor","VFLOR",265,6039
265,"Santa Marta de Penaguião","SMPE",69,5983
266,"Vila do Bispo","VBIS",179,5935
267,"Povoação","POVO",106,5867
268,"Ribeira de Pena","RPEN",217,5861
269,"Sernancelhe","SERN",228,5793
270,"Portel","PORTE",601,5737
271,"Nisa","NISA",575,5685
272,"Almeida","ALMEI",517,5676
273,"Armamar","ARMA",117,5650
274,"Sabrosa","SABR",156,5634
275,"Penela","PENE",134,5611
276,"Viana do Alentejo","VALE2",393,5538
277,"Vila do Porto","VPO",96,5502
278,"Carrazeda de Ansiães","CANS",279,5390
279,"Monchique","MONQ",395,5323
280,"Porto Santo","PSAN",42,5562
281,"Aguiar da Beira","ABEI",206,5302
282,"Figueiró dos Vinhos","FVIN",173,5270
283,"Murça","MURC",189,5256
284,"Vidigueira","VIDI",316,5229
