Concelho,Partido
Águeda,Grupo de Cidadãos Eleitores
Castelo de Paiva,PS
Espinho,PSD
Ílhavo,PSD
Mealhada,PS
Sever do Vouga,PS
Alvito,CDU
Barrancos,PS
Barcelos,PS
Póvoa de Lanhoso,PSD
Vieira do Minho,PSD-CDS
Vizela,Grupo de Cidadãos Eleitores
Freixo de Espada à Cinta,PSD
Miranda do Douro,PS
Mogadouro,PS
Vila Flor,PS
Sertã,PSD
Coimbra,PS
Figueira da Foz,PS
Góis,PS
Penacova,PS
Penela,PSD
Estremoz,Grupo de Cidadãos Eleitores
Montemor-o-Novo,CDU
Mora,CDU
Mourão,PS
Redondo,Grupo de Cidadãos Eleitores
Reguengos de Monsaraz,PS
Viana do Alentejo,PS
Vila Viçosa,CDU
Albufeira,PSD
Castro Marim,PSD-CDS
Monchique,PSD
Vila Real de Santo António,PSD
Figueira de Castelo Rodrigo,PS
Guarda,PSD
Manteigas,PS
Mêda,PS
Batalha,PSD
Caldas da Rainha,PSD
Castanheira de Pera,PSD
Marinha Grande,PS
Pedrógão Grande,PS
Lisboa,PS
Loures,CDU
Alter do Chão,PS
Elvas,PS
Marvão,PSD
Portalegre,Grupo de Cidadãos Eleitores
Vila do Conde,Grupo de Cidadãos Eleitores
Alcanena,PS
Alpiarça,CDU
Cartaxo,PS
Ferreira do Zêzere,PSD
Golegã,PS
Moita,CDU
Valença,PSD
Vila Nova de Cerveira,Grupo de Cidadãos Eleitores
Mondim de Basto,PS
Armamar,PSD
Lamego,PS
Mortágua,PSD
Nelas,PS
Oliveira de Frades,NC
Horta,PS
Santa Cruz da Graciosa,PS
São Roque do Pico,PS
Vila da Praia da Vitória,PS
Vila do Porto,PSD
Funchal,PS-BE-JPP-PDR-NC
Porto Santo,PSD
São Vicente,Grupo de Cidadãos Eleitores
