Concelho,Partido
Águeda,PSD-MPT
Albergaria-a-Velha,CDS-PP
Anadia,Grupo de Cidadãos Eleitores
Arouca,PS
Aveiro,PSD-CDS-PPM
Castelo de Paiva,PSD
Espinho,PS
Estarreja,PSD-CDS
Ílhavo,Grupo de Cidadãos Eleitores
Mealhada,Grupo de Cidadãos Eleitores
Murtosa,PSD
Oliveira de Azeméis,PS
Oliveira do Bairro,CDS-PP
Ovar,PSD
Santa Maria da Feira,PSD
São João da Madeira,PS
Sever do Vouga,PSD
Vagos,PSD
Vale de Cambra,CDS-PP
Aljustrel,PS
Almodôvar,PS
Alvito,PS
Barrancos,CDU
Beja,PS
Castro Verde,PS
Cuba,CDU
Ferreira do Alentejo,PS
Mértola,PS
Moura,PS
Odemira,PS
Ourique,PS
Serpa,CDU
Vidigueira,CDU
Amares,PSD-CDS
Barcelos,PSD-CDS
Braga,PSD-CDS-PPM-A
Cabeceiras de Basto,PS
Celorico de Basto,PSD
Esposende,PSD
Fafe,PS
Guimarães,PS
Póvoa de Lanhoso,PS
Terras de Bouro,PSD
Vieira do Minho,PSD
Vila Nova de Famalicão,PSD-CDS
Vila Verde,PSD
Vizela,PS
Alfândega da Fé,PS
Bragança,PSD
Carrazeda de Ansiães,PSD
Freixo de Espada à Cinta,PS
Macedo de Cavaleiros,PS
Miranda do Douro,PSD-CDS
Mirandela,PS
Mogadouro,PSD
Torre de Moncorvo,PSD-CDS
Vila Flor,PSD-CDS
Vimioso,PSD
Vinhais,PS
Belmonte,PS
Castelo Branco,PS
Covilhã,PS
Fundão,PSD
Idanha-a-Nova,PS
Oleiros,PSD
Penamacor,PS
Proença-a-Nova,PS
Sertã,PS
Vila de Rei,PSD
Vila Velha de Ródão,PS
Arganil,PSD
Cantanhede,PSD
Coimbra,PSD-CDS-NC-PPM-A-RIR-VP
Condeixa-a-Nova,PS
Figueira da Foz,Grupo de Cidadãos Eleitores
Góis,PSD
Lousã,PS
Mira,PSD
Miranda do Corvo,PS
Montemor-o-Velho,PS
Oliveira do Hospital,PS
Pampilhosa da Serra,PSD
Penacova,PSD
Penela,PS
Soure,PS
Tábua,PS
Vila Nova de Poiares,PS
Alandroal,PS
Arraiolos,CDU
Borba,Grupo de Cidadãos Eleitores
Estremoz,PS
Évora,CDU
Montemor-o-Novo,PS
Mora,PS
Mourão,PSD-CDS
Portel,PS
Redondo,PSD-CDS
Reguengos de Monsaraz,PSD
Vendas Novas,PS
Viana do Alentejo,CDU
Vila Viçosa,PSD-CDS-PPM-MPT
Albufeira,PSD-CDS-MPT-PPM
Alcoutim,PS
Aljezur,PS
Castro Marim,PSD
Faro,PSD-CDS-IL-MPT-PPM
Lagoa,PS
Lagos,PS
Loulé,PS
Monchique,PS
Olhão,PS
Portimão,PS
São Brás de Alportel,PS
Silves,CDU
Tavira,PS
Vila do Bispo,PS
Vila Real de Santo António,PS
Aguiar da Beira,Grupo de Cidadãos Eleitores
Almeida,PSD
Celorico da Beira,PSD
Figueira de Castelo Rodrigo,PSD
Fornos de Algodres,PS
Gouveia,PSD
Guarda,Grupo de Cidadãos Eleitores
Manteigas,Grupo de Cidadãos Eleitores
Mêda,PSD-CDS
Pinhel,PSD
Sabugal,PSD
Seia,PS
Trancoso,PS
Vila Nova de Foz Côa,PSD
Alcobaça,PSD
Alvaiázere,PSD
Ansião,PS
Batalha,Grupo de Cidadãos Eleitores
Bombarral,PS
Caldas da Rainha,Grupo de Cidadãos Eleitores
Castanheira de Pera,PS
Figueiró dos Vinhos,PS
Leiria,PS
Marinha Grande,Grupo de Cidadãos Eleitores
Nazaré,PS
Óbidos,PSD
Pedrógão Grande,PSD
Peniche,Grupo de Cidadãos Eleitores
Pombal,PSD
Porto de Mós,PSD
Alenquer,PS
Amadora,PS
Arruda dos Vinhos,PS
Azambuja,PS
Cadaval,PSD
Cascais,PSD-CDS
Lisboa,PSD-CDS-A-MPT-PPM
Loures,PS
Lourinhã,PS
Mafra,PSD
Odivelas,PS
Oeiras,Grupo de Cidadãos Eleitores
Sintra,PS
Sobral de Monte Agraço,CDU
Torres Vedras,PS
Vila Franca de Xira,PS
Alter do Chão,PSD-CDS
Arronches,PSD
Avis,CDU
Campo Maior,PS
Castelo de Vide,PSD
Crato,PS
Elvas,Grupo de Cidadãos Eleitores
Fronteira,PSD
Gavião,PS
Marvão,PSD-CDS
Monforte,CDU
Nisa,PS
Ponte de Sor,PS
Portalegre,PSD-CDS
Sousel,PS
Amarante,PSD-CDS
Baião,PS
Felgueiras,L-PS
Gondomar,PS
Lousada,PS
Maia,PSD-CDS
Marco de Canaveses,PS
Matosinhos,PS
Paços de Ferreira,PS
Paredes,PS
Penafiel,PSD-CDS
Porto,Grupo de Cidadãos Eleitores
Póvoa de Varzim,PSD
Santo Tirso,PS
Trofa,PSD-CDS
Valongo,PS
Vila do Conde,PS
Vila Nova de Gaia,PS
Abrantes,PS
Alcanena,PSD-CDS-MPT
Almeirim,PS
Alpiarça,PS
Benavente,CDU
Cartaxo,PSD
Chamusca,PS
Constância,PS
Coruche,PS
Entroncamento,PS
Ferreira do Zêzere,PS
Golegã,Grupo de Cidadãos Eleitores
Mação,PSD
Ourém,PSD-CDS
Rio Maior,PSD-CDS
Salvaterra de Magos,PS
Santarém,PSD
Sardoal,PSD
Tomar,PS
Torres Novas,PS
Vila Nova da Barquinha,PS
Alcácer do Sal,CDU
Alcochete,PS
Almada,PS
Barreiro,PS
Grândola,CDU
Moita,PS
Montijo,PS
Palmela,CDU
Santiago do Cacém,CDU
Seixal,CDU
Sesimbra,CDU
Setúbal,CDU
Sines,PS
Arcos de Valdevez,PSD
Caminha,PS
Melgaço,PS
Monção,PSD
Paredes de Coura,PS
Ponte da Barca,PSD
Ponte de Lima,CDS-PP
Valença,PS
Viana do Castelo,PS
Vila Nova de Cerveira,PS
Alijó,PSD-CDS
Boticas,PSD
Chaves,PS
Mesão Frio,PS
Mondim de Basto,PSD
Montalegre,PS
Murça,PSD
Peso da Régua,PSD
Ribeira de Pena,PS
Sabrosa,PS
Santa Marta de Penaguião,PS
Valpaços,PSD
Vila Pouca de Aguiar,PSD
Vila Real,PS
Armamar,PSD-CDS
Carregal do Sal,PS
Castro Daire,PSD-CDS
Cinfães,PS
Lamego,PSD-CDS
Mangualde,PS
Moimenta da Beira,PS
Mortágua,PS
Nelas,PSD-CDS
Oliveira de Frades,PSD-CDS
Penalva do Castelo,PS
Penedono,PSD
Resende,PS
Santa Comba Dão,PS
São João da Pesqueira,Grupo de Cidadãos Eleitores
São Pedro do Sul,PS
Sátão,PSD
Sernancelhe,PSD
Tabuaço,PSD-CDS
Tarouca,PSD
Tondela,PSD
Vila Nova de Paiva,PS
Viseu,PSD
Vouzela,PSD
Angra do Heroísmo,PS
Calheta,Grupo de Cidadãos Eleitores
Corvo,PS
Horta,PSD-CDS-PPM
Lagoa (Açores),PS
Lajes das Flores,PS
Lajes do Pico,PS
Madalena,PSD
Nordeste,PSD
Ponta Delgada,PSD
Povoação,PS
Ribeira Grande,PSD
Santa Cruz da Graciosa,PSD-CDS-PPM
Santa Cruz das Flores,PS
São Roque do Pico,PSD
Velas,CDS-PP
Vila da Praia da Vitória,PSD-CDS
Vila do Porto,PS
Vila Franca do Campo,PS
Calheta (Açores),PSD
Câmara de Lobos,PSD
Funchal,PSD-CDS
Machico,PS
Ponta do Sol,PS
Porto Moniz,PS
Porto Santo,PSD-CDS
Ribeira Brava,Grupo de Cidadãos Eleitores
Santa Cruz,JPP
Santana,CDS-PP
São Vicente,PSD-CDS
